Task,Model,Accuracy/MAE,Precision/RMSE,Recall/R2,F1,ROC-AUC
Classification,Logistic Regression,0.8338028169014085,0.7228915662650602,0.625,0.6703910614525139,0.8634169884169884
Classification,Random Forest Classifier,0.8253521126760563,0.6666666666666666,0.7083333333333334,0.6868686868686869,0.884009009009009
Classification,XGBoost Classifier,0.828169014084507,0.7058823529411765,0.625,0.6629834254143646,0.8554134491634491
Regression,Linear Regression,24.775146677254853,91.34213690251856,-0.6686132700128238,,
Regression,Random Forest Regressor,15.380337113292335,62.536231492075046,0.21787391349639473,,
Regression,XGBoost Regressor,18.338675950713558,88.8777686977501,-0.5797910317576955,,
