sl_no,project_name,agency,project_code,state,approval_date,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,cumulative_expenditure,physical_progress,source_page,report_month,source_report
1,"Construction of New Domestic Terminal Building Building and miscellaneous works including maintenance, operations and AICMC at Kadapa Airport",Airport Authority of India [AAI],612786,Andhra Pradesh,2023-03-01,2024-01-01,2026-01-01,2026-09-01,265.91,265.91,176.38,80.0,55,July 2026,FlashReport_July_2026.pdf
2,Construction of New Integrated Terminal Building and associated works including apron to park 3 code E type of aircraft or 6 code C type of aircraft at Vijayawada Airport.,Airport Authority of India [AAI],701107,Andhra Pradesh,2020-06-01,2020-09-01,2022-09-01,2026-11-01,611.8,824.28,572.99,89.7,55,July 2026,FlashReport_July_2026.pdf
3,Construction of New Domestic Terminal Building at Rajahmundry Airport.,Airport Authority of India [AAI],701121,Andhra Pradesh,2022-12-01,2023-08-01,2025-08-01,2026-08-01,347.15,347.15,189.48,96.0,55,July 2026,FlashReport_July_2026.pdf
4,Guwahati Airport New Integrated Terminal Building Construction Project,Adani Airport Holdings Limited,706724,Assam,2016-12-01,2018-03-01,2025-03-01,2026-06-01,1712.0,2520.0,2670.23,99.5,55,July 2026,FlashReport_July_2026.pdf
5,Development of New Civil Enclave at Bihta,Airport Authority of India [AAI],612183,Bihar,2024-08-01,2025-04-01,2027-03-01,,1413.0,1413.0,15.53,4.15,55,July 2026,FlashReport_July_2026.pdf
6,Development of New Civil Enclave and associated works at Darbhanga Airport,Airport Authority of India [AAI],612194,Bihar,2024-07-01,2024-07-01,2026-07-01,2026-11-01,911.66,911.66,426.22,71.1,55,July 2026,FlashReport_July_2026.pdf
7,"Construction of New Domestic Terminal Building [Phase-I and II] and other allied structures at JPNI Airport, Patna",Airport Authority of India [AAI],701101,Bihar,2018-10-01,2018-10-01,2026-05-01,2026-08-01,1216.9,1216.9,1203.48,99.26,55,July 2026,FlashReport_July_2026.pdf
8,Development of Keshod Airport.,Airport Authority of India [AAI],619054,Gujarat,2024-01-01,2025-07-01,2027-01-01,,363.1,363.1,108.64,46.69,55,July 2026,FlashReport_July_2026.pdf
9,"Development of Dholera International Greenfield Airport , Gujarat",Airport Authority of India [AAI],701126,Gujarat,2022-06-01,2022-07-01,2026-06-01,2026-09-01,1305.0,1551.0,966.36,88.0,55,July 2026,FlashReport_July_2026.pdf
10,"Construction of NTB complex including apron, taxi track and other associated civil works and electrical & mechanical installations towards Tawi River side at CA Jammu.",Airport Authority of India [AAI],611047,Jammu and Kashmir,2023-10-01,2023-12-01,2026-06-01,2026-11-01,861.37,861.37,370.44,58.35,55,July 2026,FlashReport_July_2026.pdf
11,Construction of New Domestic Terminal Building and Miscellaneous works at Hubli Airport,Airport Authority of India [AAI],612787,Karnataka,2023-06-01,2024-01-01,2026-01-01,2026-09-01,320.47,320.47,169.11,88.5,55,July 2026,FlashReport_July_2026.pdf
12,Construction of New Domestic Terminal Building and Miscellaneous Works at Belagavi Airport.,Airport Authority of India [AAI],612788,Karnataka,2023-06-01,2024-02-01,2026-02-01,2026-08-01,322.45,322.45,240.99,97.0,55,July 2026,FlashReport_July_2026.pdf
13,"Development of additional RESA on either end on Runway 10-28 at Calicut Airport. Construction of embankment with slope protection, drainage system and associated works for additional RESA on either end on Runway 10-28",Airport Authority of India [AAI],612789,Kerala,2023-06-01,2024-02-01,2025-09-01,2026-12-01,484.57,484.57,242.51,65.8,55,July 2026,FlashReport_July_2026.pdf
14,"Construction of Terminal Building & Associated works at Leh Airport, Ladakh",Airport Authority of India [AAI],400010,Ladakh,2018-07-01,2018-09-01,2021-09-01,2026-07-01,480.0,640.0,512.55,88.0,55,July 2026,FlashReport_July_2026.pdf
15,C/o NITB Imphal Airport,Airport Authority of India [AAI],706718,Manipur,2021-11-01,2022-07-01,2024-07-01,2026-12-01,499.0,499.0,212.17,53.14,55,July 2026,FlashReport_July_2026.pdf
16,"SITC of ATM Automation System and ASMGCS [Including SMR & MLAT] for Mumbai, Navi Mumbai, Jewar [earlier MOPA, without ASMGCS], HIAL & BIAL",Airport Authority of India [AAI],611570,"Multi-States (Karnataka, Maharashtra, Telangana, Uttar Pradesh)",2020-12-01,2022-10-01,2025-09-01,2026-08-01,500.48,500.48,399.77,80.0,55,July 2026,FlashReport_July_2026.pdf
17,"Development of New Greenfield Airport at Bundi, Kota Rajasthan.",Airport Authority of India [AAI],618977,Rajasthan,2025-08-01,2025-10-01,2027-10-01,2027-11-01,1507.0,1507.0,81.41,13.6,55,July 2026,FlashReport_July_2026.pdf
18,Construction of New Passenger Terminal Building for Domestic Operations at Jodhpur Airport.,Airport Authority of India [AAI],701127,Rajasthan,2022-06-01,2023-05-01,2026-03-01,2026-06-01,480.0,480.0,348.2,100.0,55,July 2026,FlashReport_July_2026.pdf
19,Construction of New Integrated Passenger Terminal Building at Udaipur Airport,Airport Authority of India [AAI],701128,Rajasthan,2023-06-01,2023-11-01,2026-03-01,2026-09-01,887.0,887.0,587.22,78.71,55,July 2026,FlashReport_July_2026.pdf
20,"Widening of basic strip at Western Side of Runway Chainage 80m to 920m i/c slope stabilization Measures [Balance work] of uphill and Improvement of Storm Water Drainage System at Pakyong Airport, Sikkim on design & build basis [EPC] with integrated 10 years maintenance.",Airport Authority of India [AAI],612793,Sikkim,2023-11-01,2023-12-01,2026-06-01,2027-06-01,323.26,323.26,87.61,36.14,56,July 2026,FlashReport_July_2026.pdf
21,"Modernization of Chennai Airport, Phase II, Part 2",Airport Authority of India [AAI],611602,Tamil Nadu,2018-05-01,2023-06-01,2025-07-01,2026-12-01,1207.0,1207.0,331.85,46.0,56,July 2026,FlashReport_July_2026.pdf
22,"Development of Lal Bahadur Shastri International airport, Varanasi including C/o New Terminal Building, Apron Extension, Runway Extension, PTT and allied works.",Airport Authority of India [AAI],701113,Uttar Pradesh,2024-07-01,2024-07-01,2027-07-01,2027-07-01,2869.65,2869.65,746.93,33.0,56,July 2026,FlashReport_July_2026.pdf
23,Development of New Integrated Civil Enclave at Agra Airport,Airport Authority of India [AAI],701122,Uttar Pradesh,2024-06-01,2024-07-01,2026-07-01,2026-11-01,579.0,579.0,224.58,44.94,56,July 2026,FlashReport_July_2026.pdf
24,Development of New Civil Enclave at Bagdogra Airport,Airport Authority of India [AAI],611495,West Bengal,2024-08-01,2024-09-01,2027-03-01,2027-03-01,1549.0,1549.0,548.3,27.9,56,July 2026,FlashReport_July_2026.pdf
25,"Re-Construction of Rigid portions of Secondary Runway, K and A Taxiway and Strengthening of C Taxiway at NSCBI Airport Kolkata.",Airport Authority of India [AAI],612791,West Bengal,2023-03-01,2023-12-01,2025-10-01,2026-08-01,328.3,328.3,153.52,73.5,56,July 2026,FlashReport_July_2026.pdf
26,TIKAK EXTENSION OCP,INVALID CO.,615820,Assam,2022-07-01,2022-07-01,2031-07-01,,159.77,159.77,112.69,89.73,56,July 2026,FlashReport_July_2026.pdf
27,TIRAP OCP,INVALID CO.,615821,Assam,2022-11-01,2022-11-01,2030-11-01,,289.46,289.46,105.66,5.0,56,July 2026,FlashReport_July_2026.pdf
28,PORDA CHIMTAPANI OCP [10 MTY],SECL - CIL,400144,Chhattisgarh,2020-12-01,2020-12-01,2029-03-01,,2310.12,2310.12,118.97,11.81,56,July 2026,FlashReport_July_2026.pdf
29,BAROUD OC EXPANSION [3.0-10.0M,SECL - CIL,400149,Chhattisgarh,2020-08-01,2020-08-01,2029-03-01,,2309.8,2309.8,1039.65,55.95,56,July 2026,FlashReport_July_2026.pdf
30,DIPKA EXPANSION OCP [40 MTY],SECL - CIL,400354,Chhattisgarh,2020-12-01,2020-12-01,2029-03-01,,5241.4,5241.4,2941.23,39.34,56,July 2026,FlashReport_July_2026.pdf
31,GEVRA OC [70 MTY],SECL - CIL,400424,Chhattisgarh,2016-03-01,2016-03-01,2023-03-01,2027-03-01,11816.4,11816.4,7825.46,78.48,56,July 2026,FlashReport_July_2026.pdf
32,AMERA OC RCE [1.0 MTY],SECL - CIL,613798,Chhattisgarh,2015-02-01,2015-02-01,2026-03-01,,335.97,335.97,91.91,42.47,56,July 2026,FlashReport_July_2026.pdf
33,AMGAON OC RCE [1.0 MTY],SECL - CIL,613799,Chhattisgarh,2015-07-01,2015-07-01,2026-03-01,,316.11,316.11,193.0,78.86,56,July 2026,FlashReport_July_2026.pdf
34,JAGANNATHPUR OC RCE PROJECT,SECL - CIL,613800,Chhattisgarh,2016-07-01,2016-07-01,2025-03-01,2027-03-01,459.49,459.49,290.4,96.15,56,July 2026,FlashReport_July_2026.pdf
35,MAHAMAYA OCP [1.50 MTY],SECL - CIL,613801,Chhattisgarh,2018-05-01,2018-05-01,2026-03-01,2028-03-01,410.26,410.26,188.72,54.6,56,July 2026,FlashReport_July_2026.pdf
36,KATKONA RO UG MINE,SECL - CIL,615191,Chhattisgarh,2023-01-01,2023-01-01,2029-03-01,,329.21,329.21,62.01,2.01,56,July 2026,FlashReport_July_2026.pdf
37,PELMA OC MDO,SECL - CIL,616234,Chhattisgarh,2022-10-01,2022-10-01,2033-03-01,,1725.04,1725.04,16.71,23.75,56,July 2026,FlashReport_July_2026.pdf
38,KUSMUNDA OC EXPANSION PROJECT,SECL - CIL,617287,Chhattisgarh,2024-11-01,2024-11-01,2030-03-01,,4516.88,4516.88,847.19,23.75,56,July 2026,FlashReport_July_2026.pdf
39,MANIKPUR OC EXPANSION PROJECT,SECL - CIL,617288,Chhattisgarh,2025-01-01,2025-01-01,2029-03-01,,382.61,382.61,138.87,21.29,56,July 2026,FlashReport_July_2026.pdf
40,RPR FOR DURGAPUR OCP 10 MTY,SECL - CIL,619171,Chhattisgarh,2025-09-01,2025-09-01,2032-03-01,,2415.91,2415.91,2.99,0.01,56,July 2026,FlashReport_July_2026.pdf
41,MADANNAGAR OCP 12 MTY - MDO,SECL - CIL,619172,Chhattisgarh,2024-12-01,2024-12-01,2033-03-01,,1859.19,1859.19,0.45,0.0,57,July 2026,FlashReport_July_2026.pdf
42,HURA C OCP,Eastern Coal Fields Limited [ECL],400018,Jharkhand,2022-08-01,2022-08-01,2029-03-01,,859.41,859.41,455.95,63.3,57,July 2026,FlashReport_July_2026.pdf
43,KONAR EXPANSION OCP,CCL - CIL,400073,Jharkhand,2022-01-01,2022-01-01,2032-03-01,,674.65,674.65,175.59,50.78,57,July 2026,FlashReport_July_2026.pdf
44,KARO EXPANSION OCP,CCL - CIL,400074,Jharkhand,2022-01-01,2022-01-01,2029-03-01,,849.31,849.31,237.61,23.28,57,July 2026,FlashReport_July_2026.pdf
45,SANGHMITRA OC,CCL - CIL,400136,Jharkhand,2024-03-01,2024-03-01,2032-03-01,,2660.0,2660.0,17.03,16.77,57,July 2026,FlashReport_July_2026.pdf
46,CHANDRAGUPT OCP,CCL - CIL,400138,Jharkhand,2020-08-01,2020-08-01,2032-03-01,,973.5,973.5,772.12,25.11,57,July 2026,FlashReport_July_2026.pdf
47,KOTRE BASANTPUR PACHMO OCP,Ministry of Coal,400139,Jharkhand,2020-08-01,2020-08-01,2032-03-01,,625.4,625.4,456.48,45.78,57,July 2026,FlashReport_July_2026.pdf
48,Pachwara South Coal Block,NLC India Limited,400142,Jharkhand,2016-03-01,2019-11-01,2028-09-01,,2242.9,2242.9,1432.45,87.0,57,July 2026,FlashReport_July_2026.pdf
49,RPR MAGADH EXP OCP,Ministry of Coal,400150,Jharkhand,2020-08-01,2020-08-01,2028-03-01,,6964.33,6964.33,2299.77,39.42,57,July 2026,FlashReport_July_2026.pdf
50,NORTH URIMARI EXPANSION OCP,Ministry of Coal,400151,Jharkhand,2021-07-01,2021-07-01,2029-03-01,,634.3,634.3,598.34,68.9,57,July 2026,FlashReport_July_2026.pdf
51,EPR ROHINI - KARKETTA OCP,Ministry of Coal,400153,Jharkhand,2021-01-01,2021-01-01,2028-03-01,,995.57,995.57,85.34,24.02,57,July 2026,FlashReport_July_2026.pdf
52,EPR PUNDI OCP,Ministry of Coal,400154,Jharkhand,2020-11-01,2020-11-01,2027-03-01,,639.6,639.6,14.78,11.24,57,July 2026,FlashReport_July_2026.pdf
53,EPR ASHOK OC,Ministry of Coal,400155,Jharkhand,2021-05-01,2021-05-01,2031-03-01,,2821.07,2821.07,186.02,27.74,57,July 2026,FlashReport_July_2026.pdf
54,EPR AMRAPALI OCP,CCL - CIL,400156,Jharkhand,2020-02-01,2020-02-01,2028-03-01,,4983.57,4983.57,1838.82,43.69,57,July 2026,FlashReport_July_2026.pdf
55,RAJRAPPA RCE OCP,CCL - CIL,400160,Jharkhand,2009-12-01,2009-12-01,2016-03-01,2027-03-01,510.85,510.85,488.71,75.61,57,July 2026,FlashReport_July_2026.pdf
56,CHITRA EAST OC,ECL - CIL,400172,Jharkhand,2018-08-01,2018-08-01,2026-03-01,2028-03-01,513.99,513.99,276.0,53.03,57,July 2026,FlashReport_July_2026.pdf
57,JHARKHAND-LAIYO OCP,Ministry of Coal,400352,Jharkhand,2020-08-01,2020-08-01,2031-03-01,,654.87,654.87,1.97,32.45,57,July 2026,FlashReport_July_2026.pdf
58,MOONIDIH XV SEAM UG,BCCL - CIL,400425,Jharkhand,2011-08-01,2011-08-01,2019-03-01,2026-09-01,1230.27,1230.27,800.25,84.02,57,July 2026,FlashReport_July_2026.pdf
59,AMALAGAMATED NTST KUJAMA OCP 8.5MTY,Bharat Coking Coal Limited (BCCL,611864,Jharkhand,2023-01-01,2023-01-01,2030-03-01,,4011.85,4011.85,414.97,31.16,57,July 2026,FlashReport_July_2026.pdf
60,MURAIDIH UG PROJECT,BCCL - CIL,613808,Jharkhand,2011-02-01,2011-02-01,2014-04-01,2026-12-01,339.87,339.87,191.14,70.47,57,July 2026,FlashReport_July_2026.pdf
61,TAPIN SOUTH EXPN,CCL - CIL,615349,Jharkhand,2020-11-01,2020-11-01,2028-03-01,,230.41,230.41,22.02,23.67,57,July 2026,FlashReport_July_2026.pdf
62,SIRKA OC,CCL - CIL,615822,Jharkhand,2020-05-01,2020-05-01,2028-03-01,,183.18,183.18,89.92,56.47,57,July 2026,FlashReport_July_2026.pdf
63,TETARIAKHAR OC,CCL - CIL,615843,Jharkhand,2019-11-01,2019-11-01,2025-03-01,2027-03-01,232.64,232.64,50.82,30.06,57,July 2026,FlashReport_July_2026.pdf
64,CHUPERBHITA SIMLONG OCP MDO 6,ECL - CIL,616225,Jharkhand,2023-12-01,2023-12-01,2037-03-01,,979.08,979.08,0.0,0.05,58,July 2026,FlashReport_July_2026.pdf
65,JARANGDIH EXPN. OCP 1.5 MTY,CCL - CIL,616236,Jharkhand,2020-02-01,2020-02-01,2029-03-01,,372.06,372.06,85.6,32.99,58,July 2026,FlashReport_July_2026.pdf
66,BLOCK E OCP,BCCL - CIL,616253,Jharkhand,2024-03-01,2024-03-01,2029-03-01,,5850.83,5850.83,20.32,4.18,58,July 2026,FlashReport_July_2026.pdf
67,"Revised Jharia Master Plan for Dealing with Fire, Subsidence & Rehabilitation of affected families in Jharia Coalfield- Reg.",Bharat Coking Coal Limited [BCCL],617416,Jharkhand,2025-06-01,2025-07-01,2028-12-01,,5940.47,5940.47,520.75,34.0,58,July 2026,FlashReport_July_2026.pdf
68,North Dhadu Western Part OCP,NLC India Limited [NLCIL],617764,Jharkhand,2023-10-01,2023-12-01,2029-03-01,,1354.2,1354.2,233.77,40.0,58,July 2026,FlashReport_July_2026.pdf
69,AMADAND OCP[4.0MTY],SECL - CIL,400148,Madhya Pradesh,2016-03-01,2016-03-01,2021-03-01,2027-03-01,869.44,869.44,325.09,75.15,58,July 2026,FlashReport_July_2026.pdf
70,BLOCK B EXPANSION [3.5 TO 8.0,NCL - CIL,400162,Madhya Pradesh,2019-07-01,2019-07-01,2023-03-01,2027-03-01,998.71,998.71,545.34,51.31,58,July 2026,FlashReport_July_2026.pdf
71,NIGAHI EXPANSION [15 TO 25 MTP,NCL - CIL,400321,Madhya Pradesh,2020-11-01,2020-11-01,2025-03-01,2028-03-01,1729.68,1729.68,985.35,53.73,58,July 2026,FlashReport_July_2026.pdf
72,KANCHAN OC EXP,SECL - CIL,613802,Madhya Pradesh,2014-12-01,2014-12-01,2026-03-01,2028-03-01,371.04,371.04,157.9,58.2,58,July 2026,FlashReport_July_2026.pdf
73,JHIRIA WEST OCP [1.5 MTY],SECL - CIL,613803,Madhya Pradesh,2024-01-01,2024-01-01,2029-03-01,,366.94,366.94,37.19,41.29,58,July 2026,FlashReport_July_2026.pdf
74,RPR TAWA-III UG 0.84 MTY,WCL - CIL,613804,Madhya Pradesh,2021-12-01,2021-12-01,2027-03-01,,314.09,314.09,17.9,17.78,58,July 2026,FlashReport_July_2026.pdf
75,AMALGAMATED DHANKASA & JAMUNIA,WCL - CIL,615185,Madhya Pradesh,2022-09-01,2022-09-01,2027-03-01,,399.2,399.2,117.2,67.13,58,July 2026,FlashReport_July_2026.pdf
76,RPR OF VISHNUPURI UG TO OC,WCL - CIL,615187,Madhya Pradesh,2022-11-01,2022-11-01,2029-03-01,,220.62,220.62,0.0,11.2,58,July 2026,FlashReport_July_2026.pdf
77,URDHAN EXPANSION OC COST PLUS,WCL - CIL,615194,Madhya Pradesh,2022-07-01,2023-01-01,2031-03-01,,206.88,206.88,50.69,2.02,58,July 2026,FlashReport_July_2026.pdf
78,SHARDA UG MINE,WCL - CIL,615195,Madhya Pradesh,2022-07-01,2023-09-01,2028-03-01,,166.25,166.25,5.93,9.39,58,July 2026,FlashReport_July_2026.pdf
79,GANDHIGRAM UG MINE,WCL - CIL,615206,Madhya Pradesh,2019-08-01,2019-08-01,2026-03-01,2027-03-01,414.15,414.15,28.54,56.88,58,July 2026,FlashReport_July_2026.pdf
80,JAYANT EXPN. [20 TO 38 MTPA],NCL - CIL,619032,Madhya Pradesh,2025-02-01,2025-02-01,2032-03-01,,25560.48,25560.48,333.3,2.1,58,July 2026,FlashReport_July_2026.pdf
81,RPR FOR RAMPUR BATURA OCP,SECL - CIL,619053,Madhya Pradesh,2025-05-01,2025-05-01,2030-03-01,,1604.69,1604.69,75.28,0.3,58,July 2026,FlashReport_July_2026.pdf
82,BHATADI EXPANSION OC,WCL - CIL,400033,Maharashtra,2020-02-01,2022-05-01,2028-03-01,,580.61,580.61,112.17,34.25,58,July 2026,FlashReport_July_2026.pdf
83,AMALGAMATED YEKONA I & YEKONA,WCL - CIL,400177,Maharashtra,2015-08-01,2015-08-01,2025-03-01,2027-03-01,727.28,727.28,564.25,80.77,58,July 2026,FlashReport_July_2026.pdf
84,DINESH[MAKARDHOKRA-III] OC,WCL - CIL,400178,Maharashtra,2020-02-01,2020-02-01,2027-03-01,,822.88,822.88,792.0,40.63,58,July 2026,FlashReport_July_2026.pdf
85,DHUPTALA OC [SASTI UG TO OC ],WCL - CIL,400353,Maharashtra,2019-02-01,2021-10-01,2028-03-01,,711.01,711.01,174.66,19.02,58,July 2026,FlashReport_July_2026.pdf
86,SAONER UG MINE -1 EXPANSION 1.,WCL - CIL,615184,Maharashtra,2022-01-01,2022-01-01,2028-03-01,,228.64,228.64,157.01,69.33,59,July 2026,FlashReport_July_2026.pdf
87,SASTI EXPANSION OPENCAST,WCL - CIL,615186,Maharashtra,2020-08-01,2020-08-01,2026-03-01,2027-03-01,319.04,319.04,155.37,32.21,59,July 2026,FlashReport_July_2026.pdf
88,NEW MAJRI UG TO OC 3 MTY COST,WCL - CIL,615188,Maharashtra,2019-05-01,2022-09-01,2027-03-01,,402.27,402.27,67.81,24.17,59,July 2026,FlashReport_July_2026.pdf
89,MAKARDHOKRA EXPN OC 4.9 MTY,WCL - CIL,615189,Maharashtra,2022-06-01,2022-06-01,2026-03-01,2027-03-01,361.87,361.87,104.17,12.2,59,July 2026,FlashReport_July_2026.pdf
90,SINGHORI DEEP OC MIN 2.0 MTY,WCL - CIL,615190,Maharashtra,2022-05-01,2022-05-01,2029-03-01,,335.75,335.75,53.94,9.64,59,July 2026,FlashReport_July_2026.pdf
91,GOKUL EXTENSION OC MINE,WCL - CIL,615192,Maharashtra,2021-04-01,2021-04-01,2026-03-01,2027-03-01,309.58,309.58,62.31,8.44,59,July 2026,FlashReport_July_2026.pdf
92,KOLGAON EXPANSION DEEP OC MINE,WCL - CIL,615199,Maharashtra,2023-01-01,2023-09-01,2027-03-01,,198.71,198.71,25.08,3.93,59,July 2026,FlashReport_July_2026.pdf
93,BALLARPUR NORTH WEST OC MINE,WCL - CIL,615330,Maharashtra,2022-12-01,2022-12-01,2029-03-01,,360.81,360.81,26.97,5.35,59,July 2026,FlashReport_July_2026.pdf
94,GADEGAON OC 3 MTY,WCL - CIL,615331,Maharashtra,2023-10-01,2023-10-01,2030-03-01,,497.41,497.41,95.69,2.19,59,July 2026,FlashReport_July_2026.pdf
95,GHONSA EXPANSION DEEP OC MINE,WCL - CIL,615914,Maharashtra,2021-03-01,2021-04-01,2029-03-01,,184.71,184.71,15.72,12.98,59,July 2026,FlashReport_July_2026.pdf
96,AMLG GAURI PAUNI EXPANSION OC,WCL - CIL,615916,Maharashtra,2024-04-01,2024-04-01,2030-03-01,,1225.21,1225.21,92.02,4.21,59,July 2026,FlashReport_July_2026.pdf
97,GAURIDEEP/GAURI CENTRAL OCP 7.,WCL - CIL,615917,Maharashtra,2023-08-01,2024-06-01,2030-03-01,,973.07,973.07,1.55,2.31,59,July 2026,FlashReport_July_2026.pdf
98,RPR OF BHANEGAON OC,WCL - CIL,615918,Maharashtra,2017-02-01,2022-09-01,2028-03-01,,405.2,405.2,43.16,16.06,59,July 2026,FlashReport_July_2026.pdf
99,N. EXTN. MUNGOLI NIRGUDA D OCP,WCL - CIL,615919,Maharashtra,2024-06-01,2024-06-01,2029-03-01,,1024.91,1024.91,218.26,27.92,59,July 2026,FlashReport_July_2026.pdf
100,NILJAI EXPANSION DEEP OCP,WCL - CIL,615982,Maharashtra,2016-08-01,2016-08-01,2022-03-01,2027-03-01,319.75,319.75,196.82,79.83,59,July 2026,FlashReport_July_2026.pdf
101,UKNI DEEP OC MINE -COST PLUS,WCL - CIL,616044,Maharashtra,2018-11-01,2019-01-01,2021-03-01,2027-03-01,237.06,237.06,168.91,94.57,59,July 2026,FlashReport_July_2026.pdf
102,AMALGAMATED INDER-KAMPTEE DEEP,WCL - CIL,616050,Maharashtra,2018-09-01,2018-09-01,2024-03-01,2027-03-01,235.9,235.9,128.49,98.97,59,July 2026,FlashReport_July_2026.pdf
103,ADASA UG TO OC MINE,WCL - CIL,616223,Maharashtra,2018-11-01,2018-11-01,2024-03-01,2027-03-01,316.0,316.0,209.29,86.49,59,July 2026,FlashReport_July_2026.pdf
104,AMAL GONDEGAON GHATROHANA EXPN,WCL - CIL,616229,Maharashtra,2024-09-01,2024-09-01,2029-03-01,,668.54,668.54,2.95,2.55,59,July 2026,FlashReport_July_2026.pdf
105,WAGHODA UG MINE [1.02 MTY],WCL - CIL,617233,Maharashtra,2024-01-01,2025-01-01,2030-03-01,,379.3,379.3,0.0,0.11,59,July 2026,FlashReport_July_2026.pdf
106,KOLARPIMPRI EXPANSION OC [2.5,WCL - CIL,617278,Maharashtra,2024-06-01,2025-02-01,2030-03-01,,630.37,630.37,0.61,0.4,59,July 2026,FlashReport_July_2026.pdf
107,SAONER-III EXPN UG MINE 1.54,WCL - CIL,619055,Maharashtra,2025-08-01,2025-08-01,2032-03-01,,444.42,444.42,0.0,0.0,59,July 2026,FlashReport_July_2026.pdf
108,BINA KAKRI AMALGAMATION EXPANS,NCL - CIL,400369,"Multi-States (Madhya Pradesh, Uttar Pradesh)",2020-08-01,2020-08-01,2024-03-01,2027-03-01,836.42,836.42,917.1,92.05,59,July 2026,FlashReport_July_2026.pdf
109,KHADIA EXPANSION [10 TO 16 MTP,NCL - CIL,615183,"Multi-States (Madhya Pradesh, Uttar Pradesh)",2021-06-01,2021-06-01,2025-03-01,2027-03-01,491.67,491.67,379.69,57.12,60,July 2026,FlashReport_July_2026.pdf
110,SUBHADRA OCP,MCL - CIL,400165,Odisha,2021-05-01,2021-05-01,2032-04-01,,1693.81,1693.81,1332.87,46.57,60,July 2026,FlashReport_July_2026.pdf
111,SIARMAL OCP,Mahanadi Coalfields Limited [MCL],400166,Odisha,2021-02-01,2021-02-01,2029-03-01,,5194.95,5194.95,3543.45,61.04,60,July 2026,FlashReport_July_2026.pdf
112,BALARAM EXPANSION OCP,Mahanadi Coalfields Limited [MCL],400183,Odisha,2020-08-01,2020-08-01,2029-03-01,,3504.21,3504.21,963.81,62.06,60,July 2026,FlashReport_July_2026.pdf
113,GOPALJI KANIHA OCP [10 TO 30 M,MCL - CIL,400185,Odisha,2022-04-01,2022-04-01,2030-03-01,,8416.19,6107.87,1777.54,35.8,60,July 2026,FlashReport_July_2026.pdf
114,INTEGRATED LAKHANPUR-BELPAHAR-,MCL - CIL,400187,Odisha,2018-05-01,2018-05-01,2027-03-01,,2434.75,2434.75,2133.7,82.9,60,July 2026,FlashReport_July_2026.pdf
115,BHARATPUR RE-ORGANIZATION OCP,MCL - CIL,400392,Odisha,2018-11-01,2018-11-01,2029-03-01,,2838.86,2838.86,1716.58,53.54,60,July 2026,FlashReport_July_2026.pdf
116,Naini Coal Mine,Singareni Collieries Company Limited [SCCL],615857,Odisha,2020-03-01,2020-03-01,2026-03-01,,494.3,494.3,491.33,80.0,60,July 2026,FlashReport_July_2026.pdf
117,INTEGRATED KULDA GARJANBAHAL O,MCL - CIL,616226,Odisha,2023-04-01,2023-04-01,2033-03-01,,3563.5,3563.5,692.76,10.43,60,July 2026,FlashReport_July_2026.pdf
118,BHUBANESWARI EXPN OCP 50 MTY,MCL - CIL,616231,Odisha,2024-03-01,2024-03-01,2033-03-01,,5366.27,5366.27,477.73,34.03,60,July 2026,FlashReport_July_2026.pdf
119,HINGULA II OC EXPN PH III 15 M,MCL - CIL,616232,Odisha,2022-11-01,2022-11-01,2029-03-01,,1561.85,1561.85,284.22,33.55,60,July 2026,FlashReport_July_2026.pdf
120,BALABHADRA OCP,MCL - CIL,616233,Odisha,2023-04-01,2023-04-01,2030-03-01,,978.44,978.44,461.54,18.93,60,July 2026,FlashReport_July_2026.pdf
121,Talabira II & III OCP - FMC,NLC India Limited [NLCIL],618982,Odisha,2022-10-01,2023-05-01,2026-06-01,2026-12-01,522.45,522.45,334.44,74.8,60,July 2026,FlashReport_July_2026.pdf
122,Jawahar Khani Open Cast Mine,Singareni Collieries Company Limited [SCCL],615818,Telangana,2021-12-01,2021-12-01,2025-03-01,2027-03-01,297.88,297.88,50.39,20.0,60,July 2026,FlashReport_July_2026.pdf
123,Kalyanikhani Opencast Project,Singareni Collieries Company Limited [SCCL],615858,Telangana,2016-03-01,2017-05-01,2026-03-01,,384.32,384.32,304.39,77.0,60,July 2026,FlashReport_July_2026.pdf
124,Godavarikhani Coal Mine - 5,Singareni Collieries Company Limited [SCCL],615860,Telangana,2019-07-01,2019-05-01,2025-03-01,2026-03-01,607.04,607.04,201.0,71.0,60,July 2026,FlashReport_July_2026.pdf
125,Indaram Opencast Project,Singareni Collieries Company Limited [SCCL],615861,Telangana,2017-08-01,2022-12-01,2025-03-01,2026-03-01,424.81,424.81,408.69,81.0,60,July 2026,FlashReport_July_2026.pdf
126,Goleti Opencast Mine,Singareni Collieries Company Limited [SCCL],615862,Telangana,2021-07-01,2021-08-01,2026-03-01,,345.6,345.6,111.94,33.0,60,July 2026,FlashReport_July_2026.pdf
127,Venkatesh Khani Coal Mine,Singareni Collieries Company Limited [SCCL],615863,Telangana,2020-10-01,2020-06-01,2026-03-01,,484.5,484.5,477.14,97.0,60,July 2026,FlashReport_July_2026.pdf
128,Kakatiyakhani OC - 2 Project,Singareni Collieries Company Limited [SCCL],615865,Telangana,2017-08-01,2017-09-01,2025-03-01,2026-03-01,442.42,442.42,253.41,64.0,60,July 2026,FlashReport_July_2026.pdf
